name,level,section,type,link,pages,,,
ما لم يخبرني به أبي عن الحياة,1,تنمية,1,https://www.osboha180.com/evaluation/books/2.pdf,226,,,
ادرس بذكاء وليس بجهد,1,تنمية,1,https://www.osboha180.com/evaluation/books/3.pdf,231,,,
الاسلام بين الشرق والغرب,2,فكري,1,https://www.osboha180.com/evaluation/books/31.pdf,414,,,
أيقظ قدراتك,1,تنمية,1,https://www.osboha180.com/evaluation/books/32.pdf,148,,,
طبائع الاسبتداد ومصارع الاستعباد,2,تربية,1,https://www.osboha180.com/evaluation/books/33.pdf,193,,,
الزنزانة,1,اجتماعي,1,https://www.osboha180.com/evaluation/books/34.pdf,433,,,
هكذا ظهر جيل صلاح الدين,3,تاريخي,1,https://www.osboha180.com/evaluation/books/35.pdf,421,,,
هكذا ربانا جدي - علي الطنطاوي,2,تربية,1,https://www.osboha180.com/evaluation/books/39.pdf,131,,,
أنا وأخواتها,1,أدبي,1,https://www.osboha180.com/evaluation/books/310.pdf,370,,,
قصة الاندلس من الفتح الى السقوط,2,تاريخي,1,https://www.osboha180.com/evaluation/books/311.pdf,800,,,
مميز بالأصفر,1,تنمية,1,https://www.osboha180.com/evaluation/books/312.pdf,233,,,
الدولة الحديثة المسلمة,2,سياسي,1,https://www.osboha180.com/evaluation/books/315.pdf,458,,,
الشورى فريضة إسلامية,2,سياسي,1,https://www.osboha180.com/evaluation/books/316.pdf,169,,,
البرلمان في الدولة الحديثة,2,سياسي,1,https://www.osboha180.com/evaluation/books/317.pdf,275,,,
التداول على السلطة التنفيذية,2,سياسي,1,https://www.osboha180.com/evaluation/books/318.pdf,236,,,
العدالة والمصالحة الوطنية,2,سياسي,1,https://www.osboha180.com/evaluation/books/319.pdf,221,,,
كيف نختلف,2,اجتماعي,1,https://www.osboha180.com/evaluation/books/320.pdf,226,,,
السماء في القران الكريم,2,علمي,1,https://www.osboha180.com/evaluation/books/321.pdf,610,,,
الأرض في القران الكريم,2,علمي,1,https://www.osboha180.com/evaluation/books/322.pdf,640,,,
الحيوان في القران الكريم,2,علمي,1,https://www.osboha180.com/evaluation/books/323.pdf,509,,,
عبقرية محمد صلى الله عليه وسلم,1,ديني,1,https://www.osboha180.com/evaluation/books/324.pdf,161,,,
عصر العلم,3,فكري,1,https://www.osboha180.com/evaluation/books/325.pdf,280,,,
من روائع حضارتنا,2,تاريخي,1,https://www.osboha180.com/evaluation/books/326.pdf,289,,,
الرحيق المختوم,2,ديني,1,https://www.osboha180.com/evaluation/books/327.pdf,512,,,
الأيام,2,أدبي,1,https://www.osboha180.com/evaluation/books/328.pdf,523,,,
بأي قلب نلقاه,1,ديني,1,https://www.osboha180.com/evaluation/books/329.pdf,243,,,
وحي القلم - الجزء الأول,3,أدبي,1,https://www.osboha180.com/evaluation/books/330.pdf,344,,,
وحي القلم - الجزء الثاني,3,أدبي,1,https://www.osboha180.com/evaluation/books/331.pdf,350,,,
وحي القلم - الجزء الثالث,3,أدبي,1,https://www.osboha180.com/evaluation/books/332.pdf,392,,,
